Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
D1,25/01/2019,Hertha,Schalke 04,2,2,D,2,2,D,11,14,4,7,3,6,15,10,2,1,0,0
D1,26/01/2019,Dortmund,Hannover,5,1,H,1,0,H,18,11,9,3,6,3,7,10,1,1,0,0
D1,26/01/2019,Freiburg,Hoffenheim,2,4,A,1,1,D,20,16,8,11,6,1,17,14,0,2,0,0
D1,26/01/2019,Mainz,Nurnberg,2,1,H,1,1,D,20,8,4,3,5,5,12,16,3,1,0,0
D1,26/01/2019,M'gladbach,Augsburg,2,0,H,0,0,D,14,4,6,1,4,0,9,15,2,4,0,0
D1,26/01/2019,Werder Bremen,Ein Frankfurt,2,2,D,1,1,D,18,8,9,4,8,3,11,10,4,2,0,0
D1,26/01/2019,Wolfsburg,Leverkusen,0,3,A,0,1,A,10,23,4,14,5,6,10,14,5,3,0,0
D1,27/01/2019,Bayern Munich,Stuttgart,4,1,H,1,1,D,19,7,6,2,8,1,9,9,1,1,0,0
D1,27/01/2019,Fortuna Dusseldorf,RB Leipzig,0,4,A,0,3,A,10,12,0,9,8,2,11,11,1,0,0,0
D1,01/02/2019,Hannover,RB Leipzig,0,3,A,0,1,A,5,19,1,8,0,7,14,17,2,2,0,0
D1,02/02/2019,Ein Frankfurt,Dortmund,1,1,D,1,1,D,12,13,7,4,6,4,15,6,2,2,0,0
D1,02/02/2019,Hertha,Wolfsburg,0,1,A,0,0,D,11,8,4,4,3,7,19,12,3,1,0,0
D1,02/02/2019,Hoffenheim,Fortuna Dusseldorf,1,1,D,1,0,H,12,8,4,6,5,5,22,12,3,4,0,0
D1,02/02/2019,Leverkusen,Bayern Munich,3,1,H,0,1,A,11,17,4,6,7,4,13,13,3,2,0,0
D1,02/02/2019,Nurnberg,Werder Bremen,1,1,D,0,0,D,11,10,2,3,3,7,17,17,4,1,0,0
D1,02/02/2019,Schalke 04,M'gladbach,0,2,A,0,0,D,9,16,1,9,1,6,9,8,1,2,1,0
D1,03/02/2019,Augsburg,Mainz,3,0,H,2,0,H,19,6,8,0,7,3,18,10,0,1,0,0
D1,03/02/2019,Stuttgart,Freiburg,2,2,D,0,1,A,17,16,4,4,7,8,8,9,5,0,1,0
D1,08/02/2019,Mainz,Leverkusen,1,5,A,1,4,A,15,18,2,7,4,4,13,5,3,1,0,0
D1,09/02/2019,Bayern Munich,Schalke 04,3,1,H,2,1,H,17,7,4,5,7,2,8,9,1,2,0,0
D1,09/02/2019,Dortmund,Hoffenheim,3,3,D,2,0,H,16,14,7,6,7,8,7,14,0,3,0,0
D1,09/02/2019,Freiburg,Wolfsburg,3,3,D,1,1,D,10,15,4,4,9,2,15,10,3,2,0,0
D1,09/02/2019,Hannover,Nurnberg,2,0,H,1,0,H,18,9,8,1,4,4,16,16,2,2,0,1
D1,09/02/2019,M'gladbach,Hertha,0,3,A,0,1,A,13,11,4,4,5,5,7,11,0,2,0,0
D1,09/02/2019,RB Leipzig,Ein Frankfurt,0,0,D,0,0,D,14,6,1,2,7,4,9,10,4,2,0,0
D1,10/02/2019,Fortuna Dusseldorf,Stuttgart,3,0,H,1,0,H,15,15,6,2,5,4,18,8,3,4,0,1
D1,10/02/2019,Werder Bremen,Augsburg,4,0,H,3,0,H,11,13,5,3,3,2,5,12,0,1,0,0
D1,15/02/2019,Augsburg,Bayern Munich,2,3,A,2,2,D,8,17,2,8,1,9,13,12,1,2,0,0
D1,16/02/2019,Hertha,Werder Bremen,1,1,D,1,0,H,11,8,2,2,4,3,16,11,3,3,0,0
D1,16/02/2019,Hoffenheim,Hannover,3,0,H,2,0,H,26,5,11,1,10,6,15,6,0,1,0,0
D1,16/02/2019,Schalke 04,Freiburg,0,0,D,0,0,D,15,12,2,3,4,9,10,13,0,4,1,1
D1,16/02/2019,Stuttgart,RB Leipzig,1,3,A,1,1,D,7,7,3,4,5,4,18,11,1,1,0,0
D1,16/02/2019,Wolfsburg,Mainz,3,0,H,1,0,H,16,12,6,4,4,7,6,11,1,1,0,0
D1,17/02/2019,Ein Frankfurt,M'gladbach,1,1,D,1,0,H,12,14,3,5,8,7,12,8,3,1,0,0
D1,17/02/2019,Leverkusen,Fortuna Dusseldorf,2,0,H,1,0,H,13,3,7,0,5,4,6,11,1,3,0,0
D1,18/02/2019,Nurnberg,Dortmund,0,0,D,0,0,D,7,17,2,6,3,11,8,9,1,1,0,0
D1,22/02/2019,Werder Bremen,Stuttgart,1,1,D,1,1,D,15,8,4,3,4,2,7,9,1,3,0,0
D1,23/02/2019,Bayern Munich,Hertha,1,0,H,0,0,D,12,9,4,2,11,3,12,6,2,0,0,1
D1,23/02/2019,Fortuna Dusseldorf,Nurnberg,2,1,H,0,1,A,19,5,7,2,7,3,14,7,3,4,0,1
D1,23/02/2019,Freiburg,Augsburg,5,1,H,3,0,H,19,14,11,4,8,1,13,16,0,3,0,1
D1,23/02/2019,Mainz,Schalke 04,3,0,H,1,0,H,21,10,6,3,1,3,10,15,4,2,0,0
D1,23/02/2019,M'gladbach,Wolfsburg,0,3,A,0,1,A,15,5,5,3,12,1,14,11,2,1,0,0
D1,24/02/2019,Dortmund,Leverkusen,3,2,H,2,1,H,9,13,4,4,3,8,10,9,1,2,0,0
D1,24/02/2019,Hannover,Ein Frankfurt,0,3,A,0,0,D,11,14,3,8,3,5,11,12,1,1,0,0
D1,25/02/2019,RB Leipzig,Hoffenheim,1,1,D,0,1,A,15,7,4,4,6,4,16,21,0,1,0,0
D1,01/03/2019,Augsburg,Dortmund,2,1,H,1,0,H,9,18,4,8,1,4,15,11,1,2,0,0
D1,02/03/2019,Ein Frankfurt,Hoffenheim,3,2,H,1,1,D,18,20,10,7,4,3,8,16,0,3,0,1
D1,02/03/2019,Hertha,Mainz,2,1,H,0,0,D,11,13,4,1,4,1,13,10,0,2,0,0
D1,02/03/2019,Leverkusen,Freiburg,2,0,H,1,0,H,17,8,5,3,7,2,11,7,0,0,0,0
D1,02/03/2019,M'gladbach,Bayern Munich,1,5,A,1,2,A,11,19,2,14,1,9,6,11,2,2,0,0
D1,02/03/2019,Nurnberg,RB Leipzig,0,1,A,0,1,A,7,12,1,5,5,8,8,17,2,3,0,0
